Country	Mortalityrate1990	Mortalityrate2019	ID	id_row
Afghanistan	74	36	Q889	0
Albania	13	8	Q222	1
Algeria	23	16	Q262	2
Andorra	7	1	Q228	3
Angola	53	28	Q916	4
Antigua and Barbuda	8	4	Q781	5
Argentina	15	6	Q414	6
Armenia	23	6	Q399	7
Australia	5	2	Q408	8
Austria	5	2	Q40	9
Azerbaijan	33	11	Q227	10
Bahamas, The	14	7	Q778	11
Bahrain	15	3	Q398	12
Bangladesh	64	19	Q902	13
Barbados	12	8	Q244	14
Belarus	9	1	Q184	15
Belgium	5	2	Q31	16
Belize	18	8	Q242	17
Benin	46	31	Q962	18
Bhutan	42	17	Q917	19
Bolivia	41	15	Q750	20
Bosnia and Herzegovina	11	4	Q225	21
Botswana	17	18	Q963	22
Brazil	25	8	Q155	23
Brunei Darussalam	6	6	Q921	24
Bulgaria	8	3	Q219	25
Burkina Faso	46	26	Q965	26
Burundi	40	21	Q967	27
Cabo Verde	20	9	Q1011	28
Cambodia	40	15	Q424	29
Cameroon	40	26	Q1009	30
Canada	4	3	Q16	31
Central African Republic	52	40	Q929	32
Chad	52	33	Q657	33
Chile	9	5	Q298	34
China	30	4	Q148	35
Colombia	18	8	Q739	36
Comoros	50	30	Q970	37
Congo, Dem. Rep.	42	27	Q974	38
Congo, Rep.	27	19	Q971	39
Costa Rica	9	6	Q800	40
Cote d'Ivoire	49	33	Q1008	41
Croatia	8	3	Q224	42
Cuba	7	2	Q241	43
Cyprus	6	1	Q229	44
Czech Republic	7	2	Q213	45
Denmark	4	3	Q35	46
Djibouti	49	31	Q977	47
Dominica	10	28	Q784	48
Dominican Republic	24	19	Q786	49
Ecuador	22	7	Q736	50
Egypt, Arab Rep.	33	11	Q79	51
El Salvador	22	7	Q792	52
Equatorial Guinea	48	29	Q983	53
Eritrea	35	18	Q986	54
Estonia	10	1	Q191	55
Eswatini	22	18	Q1050	56
Ethiopia	59	28	Q115	57
Fiji	12	11	Q712	58
Finland	4	1	Q33	59
France	4	3	Q142	60
Gabon	31	20	Q1000	61
Gambia, The	46	27	Q1005	62
Georgia	25	5	Q230	63
Germany	3	2	Q183	64
Ghana	42	23	Q117	65
Greece	7	2	Q41	66
Grenada	12	11	Q769	67
Guatemala	28	12	Q774	68
Guinea	61	30	Q1006	69
Guinea-Bissau	63	35	Q1007	70
Guyana	31	19	Q734	71
Haiti	39	25	Q790	72
Honduras	22	9	Q783	73
Hungary	11	2	Q28	74
Iceland	4	1	Q189	75
India	57	22	Q668	76
Indonesia	31	12	Q252	77
Iran, Islamic Rep.	25	9	Q794	78
Iraq	26	15	Q796	79
Ireland	5	2	Q27	80
Israel	6	2	Q801	81
Italy	6	2	Q38	82
Jamaica	20	10	Q766	83
Japan	3	1	Q17	84
Jordan	20	9	Q810	85
Kazakhstan	23	5	Q232	86
Kenya	28	21	Q114	87
Kiribati	35	22	Q710	88
Korea, Dem. Peopleâ€™s Rep.	21	10	Q423	89
Korea, Rep.	7	2	Q884	90
Kuwait	10	5	Q817	91
Kyrgyz Republic	24	12	Q813	92
Lao PDR	47	22	Q819	93
Latvia	8	2	Q211	94
Lebanon	21	4	Q822	95
Lesotho	39	43	Q1013	96
Liberia	59	32	Q1014	97
Libya	21	7	Q1016	98
Lithuania	8	2	Q37	99
Luxembourg	4	2	Q32	100
Madagascar	39	20	Q1019	101
Malawi	50	20	Q1020	102
Malaysia	8	5	Q833	103
Maldives	39	5	Q826	104
Mali	67	32	Q912	105
Malta	8	5	Q233	106
Marshall Islands	19	15	Q709	107
Mauritania	46	32	Q1025	108
Mauritius	15	10	Q1027	109
Mexico	22	9	Q96	110
Micronesia, Fed. Sts.	25	16	Q702	111
Moldova	19	11	Q217	112
Monaco	4	2	Q235	113
Mongolia	30	8	Q711	114
Montenegro	11	1	Q236	115
Morocco	36	14	Q1028	116
Mozambique	62	29	Q1029	117
Myanmar	47	22	Q836	118
Namibia	28	19	Q1030	119
Nepal	58	20	Q837	120
Netherlands	5	3	Q55	121
New Zealand	4	3	Q664	122
Nicaragua	23	10	Q811	123
Niger	55	24	Q1032	124
Nigeria	50	36	Q1033	125
North Macedonia	17	4	Q221	126
Norway	4	1	Q20	127
Oman	17	5	Q842	128
Pakistan	64	41	Q843	129
Palau	19	9	Q695	130
Panama	18	9	Q804	131
Papua New Guinea	34	22	Q691	132
Paraguay	22	11	Q733	133
Peru	28	6	Q419	134
Philippines	19	13	Q928	135
Poland	11	3	Q36	136
Portugal	7	2	Q45	137
Qatar	11	3	Q846	138
Romania	16	3	Q218	139
Russian Federation	11	3	Q159	140
Rwanda	41	16	Q1037	141
Samoa	16	8	Q683	142
San Marino	7	1	Q238	143
Sao Tome and Principe	26	14	Q1039	144
Saudi Arabia	22	4	Q851	145
Senegal	40	22	Q1041	146
Serbia	17	3	Q403	147
Seychelles	11	9	Q1042	148
Sierra Leone	52	31	Q1044	149
Singapore	4	1	Q334	150
Slovak Republic	9	3	Q214	151
Slovenia	6	1	Q215	152
Solomon Islands	15	8	Q685	153
Somalia	45	37	Q1045	154
South Africa	20	12	Q258	155
South Sudan	64	39	Q958	156
Spain	5	2	Q29	157
Sri Lanka	13	4	Q854	158
St. Kitts and Nevis	19	10	Q763	159
St. Lucia	12	13	Q760	160
St. Vincent and the Grenadines	13	9	Q757	161
Sudan	42	27	Q1049	162
Suriname	21	11	Q730	163
Sweden	4	1	Q34	164
Switzerland	4	3	Q39	165
Syrian Arab Republic	16	11	Q858	166
Tajikistan	31	15	Q863	167
Tanzania	40	20	Q924	168
Thailand	21	5	Q869	169
Timor-Leste	55	20	Q574	170
Togo	43	25	Q945	171
Tonga	10	7	Q678	172
Trinidad and Tobago	20	12	Q754	173
Tunisia	28	12	Q948	174
Turkey	33	5	Q43	175
Turkmenistan	27	24	Q874	176
Tuvalu	28	16	Q672	177
Uganda	39	20	Q1036	178
Ukraine	12	5	Q212	179
United Arab Emirates	8	4	Q878	180
United Kingdom	5	3	Q145	181
United States	6	4	Q30	182
Uruguay	12	4	Q77	183
Uzbekistan	31	10	Q265	184
Vanuatu	16	11	Q686	185
Venezuela, RB	13	15	Q717	186
Vietnam	23	11	Q881	187
West Bank and Gaza	22	11	Q407199	188
Yemen, Rep.	43	27	Q805	189
Zambia	36	23	Q953	190
Zimbabwe	25	26	Q954	191